Gene	SNPs	Traits	Tissues	Interactions	Mapped
AC016683.6	rs11123170	renal_system_measurement__blood_urea_nitrogen_measurement	Testis, Small_Intestine_Terminal_Ileum, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Ovary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Liver, Brain_Hypothalamus, Prostate, Pancreas, Nerve_Tibial, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Hippocampus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Pituitary, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
ZNF707	rs2294008	duodenal_ulcer, gastric_adenocarcinoma, gastric_carcinoma	Brain_Anterior_cingulate_cortex_BA24	trans	False
CAMK4	rs1417352	atrial_natriuretic_factor_measurement	Skin_Sun_Exposed_Lower_leg	trans	False
ZC3H13	rs741668	cerebrospinal_fluid_clusterin_measurement	Nerve_Tibial, Heart_Atrial_Appendage, Cells_Transformed_fibroblasts, Lung	cis	False
RNF115	rs1967017, rs1471633, rs12129861	urate_measurement, urate_measurement__overweight_body_mass_index_status, uric_acid_measurement	Nerve_Tibial, Esophagus_Mucosa, Thyroid	cis	False
AC009120.4	rs14235	Parkinson's_disease	Nerve_Tibial	trans	False
A2M-AS1	rs4883201	total_cholesterol_measurement	Nerve_Tibial, Adipose_Subcutaneous, Cells_Transformed_fibroblasts	cis	False
RP1-20N18.4	rs4363385	atopic_eczema__psoriasis	Testis	cis	False
XPC	rs4618210	myocardial_infarction	Esophagus_Muscularis	trans	False
SP1	rs1485394, rs2460882	electroencephalogram_measurement__beta_wave_measurement, gas_trapping_measurement	Thyroid, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Muscle_Skeletal, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg, Vagina, Heart_Left_Ventricle	cis	True
GRINA	rs11783655, rs11784833	body_height, low_density_lipoprotein_cholesterol_measurement	Muscle_Skeletal, Whole_Blood	cis	False
CAMKV	rs7613875	body_mass_index	Testis	cis	False
SPPL3	rs7305618, rs1183910, rs7953249, rs2066938, rs2251468, rs2650000, rs6489785, rs1169288, rs2014355, rs12427353, rs7957197, rs2244608, rs3916, rs12815613	C-reactive_protein_measurement, N-glycan_measurement, blood_metabolite_measurement, chronic_obstructive_pulmonary_disease__C-reactive_protein_measurement, homocysteine_measurement, inflammatory_response, longevity, low_density_lipoprotein_cholesterol_measurement, metabolite_measurement, serum_alpha-1-antitrypsin_measurement, serum_gamma-glutamyl_transferase_measurement, total_cholesterol_measurement, type_II_diabetes_mellitus, urate_measurement, urinary_metabolite_measurement, very_long-chain_saturated_fatty_acid_measurement	Adipose_Subcutaneous, Nerve_Tibial, Testis, Artery_Aorta, Brain_Cortex, Lung, Stomach, Colon_Transverse, Esophagus_Muscularis, Pancreas, Esophagus_Gastroesophageal_Junction, Heart_Left_Ventricle, Cells_Transformed_fibroblasts	cis	False
GOLIM4	rs7632500	esophageal_adenocarcinoma__digestive_system_disease__Barrett's_esophagus	Nerve_Tibial, Cells_Transformed_fibroblasts	cis	False
OPA3	rs8111589	alcohol_dependence	Testis	cis	True
RP11-489D6.2	rs2676071	periodontitis	Testis, Muscle_Skeletal, Brain_Frontal_Cortex_BA9, Adipose_Subcutaneous, Colon_Transverse, Esophagus_Muscularis, Nerve_Tibial, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Esophagus_Gastroesophageal_Junction, Brain_Hippocampus, Brain_Cortex, Artery_Tibial, Artery_Coronary, Brain_Nucleus_accumbens_basal_ganglia, Artery_Aorta, Brain_Putamen_basal_ganglia, Skin_Sun_Exposed_Lower_leg	cis	False
RP11-190A12.8	rs2814778, rs6659742	leukocyte_count, multiple_sclerosis__oligoclonal_band_measurement	Thyroid, Testis, Skin_Not_Sun_Exposed_Suprapubic, Pituitary, Heart_Atrial_Appendage, Cells_Transformed_fibroblasts, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Heart_Left_Ventricle, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
OVCH2	rs878860	atopic_eczema	Stomach	cis	False
SPPL2A	rs2414059, rs3105593, rs1124769	QT_interval, neuropsychological_test	Thyroid, Nerve_Tibial, Cells_Transformed_fibroblasts, Muscle_Skeletal, Adipose_Subcutaneous, Artery_Tibial, Lung, Heart_Atrial_Appendage	cis	False
SPPL2C	rs12373124, rs12185268, rs17649553, rs199498, rs1864325, rs17689882, rs8072451	androgenetic_alopecia, Corticobasal_degeneration, Parkinson's_disease, bone_density, intra_cranial_volume	Brain_Cerebellum, Brain_Cerebellar_Hemisphere	cis	False
SPPL2B	rs62120679	Parkinson's_disease	Thyroid, Testis, Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Pituitary, Artery_Tibial, Esophagus_Muscularis, Pancreas, Adipose_Subcutaneous, Cells_Transformed_fibroblasts, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Skin_Sun_Exposed_Lower_leg	cis	False
ITGA8	rs7077361	Parkinson's_disease	Brain_Caudate_basal_ganglia	cis	True
ITGA9	rs12505749	pulmonary_function_measurement	Artery_Aorta	trans	False
ATP2A1	rs7359397, rs3888190, rs7498665, rs8049439	body_mass_index, inflammatory_bowel_disease, self_reported_educational_attainment	Skin_Not_Sun_Exposed_Suprapubic, Skin_Sun_Exposed_Lower_leg	cis	False
ATP2A3	rs12939525	Frontotemporal_dementia	Vagina	trans	False
ITGA1	rs2456203, rs1551943, rs4074793	FEV-FEC_ratio, pulmonary_function_measurement__FEV-FEC_ratio, serum_gamma-glutamyl_transferase_measurement	Whole_Blood, Nerve_Tibial, Esophagus_Muscularis, Colon_Sigmoid, Esophagus_Gastroesophageal_Junction	cis	True
ITGA2	rs496300	high_density_lipoprotein_cholesterol_measurement__metabolic_syndrome	Brain_Putamen_basal_ganglia	trans	False
NOP2	rs236918	soluble_transferrin_receptor_measurement__iron_biomarker_measurement	Uterus	trans	False
ITGA4	rs7602460, rs2124440, rs1449263, rs1375493, rs1441147	heart_function_measurement, monocyte_count, vital_capacity	Cells_Transformed_fibroblasts, Whole_Blood, Adrenal_Gland	cis	False
RIT1	rs2364403, rs670523, rs2282301, rs3856261	amyotrophic_lateral_sclerosis__age_at_onset, Crohn's_disease, conduct_disorder, inflammatory_bowel_disease, schizophrenia	Thyroid, Liver, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Muscle_Skeletal, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Adipose_Visceral_Omentum, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Small_Intestine_Terminal_Ileum, Skin_Not_Sun_Exposed_Suprapubic, Heart_Atrial_Appendage, Artery_Tibial, Artery_Aorta, Lung, Adrenal_Gland, Uterus	cis	True
ITGA7	rs55874825	response_to_drug	Whole_Blood	cis	False
DENND4A	rs744910, rs6494537, rs2572207	asthma, hemoglobin_measurement__mean_corpuscular_hemoglobin, mean_corpuscular_volume	Stomach, Pituitary, Cells_Transformed_fibroblasts, Testis, Artery_Tibial	both	True
PAMR1	rs10768122, rs8001611	Vitiligo, bone_density	Vagina, Adipose_Visceral_Omentum	both	False
FBXL13	rs17135875	diastolic_blood_pressure__response_to_cold_pressor_test, mean_arterial_pressure__response_to_cold_pressor_test, systolic_blood_pressure__response_to_cold_pressor_test	Stomach	cis	True
CYP27B1	rs12368653, rs703842	multiple_sclerosis	Thyroid	cis	False
FBXL17	rs11242661, rs4869266	response_to_drug, serum_IgG_glycosylation_measurement	Muscle_Skeletal, Brain_Putamen_basal_ganglia	both	False
FBXL16	rs2017567	lumbar_disc_degeneration	Nerve_Tibial	cis	False
FAM169A	rs457717	hearing_loss	Lung	trans	False
FBXL18	rs10216189	functional_laterality__dyslexia	Testis	cis	True
DNAH10OS	rs4765127, rs1716403, rs34102591, rs1316952, rs1048497, rs4765219	high_density_lipoprotein_cholesterol_measurement, response_to_fenofibrate, schizophrenia, triglyceride_measurement, visceral:subcutaneous_adipose_tissue_ratio, visceral_adipose_tissue_measurement__body_mass_index, waist-hip_ratio__body_mass_index	Nerve_Tibial, Heart_Atrial_Appendage, Artery_Tibial, Esophagus_Muscularis, Adipose_Subcutaneous, Colon_Sigmoid, Muscle_Skeletal, Heart_Left_Ventricle, Esophagus_Gastroesophageal_Junction, Lung, Skin_Sun_Exposed_Lower_leg, Testis, Artery_Aorta	cis	False
SDK1	rs2191349, rs1974620, rs17208368, rs6947830, rs4343996, rs17176043, rs6462411	HOMA-B, body_mass_index__fasting_blood_glucose_measurement, fasting_blood_glucose_measurement, hypospadias, metabolic_syndrome, motion_sickness, self_reported_educational_attainment, thyroid_stimulating_hormone_measurement	Heart_Left_Ventricle, Artery_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Adipose_Subcutaneous, Esophagus_Muscularis, Nerve_Tibial, Muscle_Skeletal, Skin_Sun_Exposed_Lower_leg, Stomach	both	True
KANSL1-AS1	rs17577094, rs8070723, rs199533, rs9303525	Parkinson's_disease, Progressive_supranuclear_palsy, intra_cranial_volume	Thyroid, Testis, Small_Intestine_Terminal_Ileum, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Ovary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Liver, Brain_Hypothalamus, Prostate, Pancreas, Nerve_Tibial, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Hippocampus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Pituitary, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
THSD4	rs6062788, rs9586179, rs12441227	body_mass_index, phospholipid_measurement, pulmonary_function_measurement__FEV-FEC_ratio	Pancreas, Breast_Mammary_Tissue, Esophagus_Gastroesophageal_Junction	both	True
RP11-707P17.2	rs3736485	body_mass_index	Brain_Frontal_Cortex_BA9, Adipose_Subcutaneous, Esophagus_Muscularis, Nerve_Tibial, Cells_EBV-transformed_lymphocytes, Adipose_Visceral_Omentum	cis	False
CHST8	rs4805885, rs8182584, rs10425465, rs3786897, rs4081724	adiponectin_measurement, body_mass_index__fasting_blood_insulin_measurement, schizophrenia, type_II_diabetes_mellitus, waist-hip_ratio__body_mass_index	Brain_Caudate_basal_ganglia, Adipose_Subcutaneous, Adipose_Visceral_Omentum	cis	False
COL4A1	rs9577381, rs3742207	axial_length_measurement, arterial_stiffness_measurement	Adrenal_Gland, Small_Intestine_Terminal_Ileum	both	True
AC007390.5	rs2041840, rs3770752	chronic_lymphocytic_leukemia, schizophrenia	Thyroid, Testis, Small_Intestine_Terminal_Ileum, Nerve_Tibial, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Pituitary, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Pancreas, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Hippocampus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Ovary, Esophagus_Gastroesophageal_Junction, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
CHST3	rs1245582, rs1678618	lumbar_disc_degeneration, smoking_behavior	Testis, Cells_EBV-transformed_lymphocytes	cis	False
CHST6	rs8068318	serum_creatinine_measurement	Nerve_Tibial	trans	False
ITGAX	rs3925075, rs11865038, rs13708, rs10782001, rs11150610	IGA_glomerulonephritis, Parkinson's_disease, psoriasis, systemic_lupus_erythematosus	Whole_Blood	cis	False
MTFR1	rs4601292, rs6472235	HIV_viral_set_point_measurement, pathological_myopia	Muscle_Skeletal	cis	False
MTG1	rs10857712	rheumatoid_arthritis	Thyroid, Testis, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Pituitary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Muscle_Skeletal, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Esophagus_Gastroesophageal_Junction, Brain_Hypothalamus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Ovary, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Brain_Hippocampus, Lung, Skin_Sun_Exposed_Lower_leg	cis	True
ITGAM	rs3925075	IGA_glomerulonephritis	Whole_Blood	cis	False
HLF	rs244293	age_at_menarche	Thyroid	cis	False
NOV	rs2469997, rs2071518	hypertension, pulse_pressure_measurement	Colon_Transverse, Artery_Aorta, Lung, Testis, Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Artery_Tibial, Esophagus_Muscularis, Colon_Sigmoid, Heart_Left_Ventricle, Skin_Sun_Exposed_Lower_leg	cis	True
FAM134B	rs1875714	self_reported_educational_attainment	Breast_Mammary_Tissue	trans	False
SMAD9	rs8001611, rs609418	bone_density, coronary_artery_bypass__myocardial_infarction	Stomach, Thyroid, Brain_Caudate_basal_ganglia, Nerve_Tibial, Brain_Cortex, Brain_Nucleus_accumbens_basal_ganglia, Brain_Putamen_basal_ganglia	both	True
LRPAP1	rs6831256	low_density_lipoprotein_cholesterol_measurement, total_cholesterol_measurement, triglyceride_measurement	Testis	cis	False
CPHL1P	rs7617219	subcutaneous_adipose_tissue_measurement	Lung	cis	False
SMAD6	rs7267348	schizophrenia	Whole_Blood	trans	False
GOLPH3L	rs2230061, rs267733, rs17599629, rs267738, rs4970988	fat_body_mass, low_density_lipoprotein_cholesterol_measurement, prostate_carcinoma, rhegmatogenous_retinal_detachment, urate_measurement	Testis, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Artery_Tibial, Muscle_Skeletal, Nerve_Tibial, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	cis	False
SMAD1	rs11100904	dental_caries	Ovary	cis	False
SMAD3	rs17228058, rs744910, rs17293632, rs16851483, rs12913547, rs17294280	allergy, asthma, Crohn's_disease, body_mass_index, corneal_topography, inflammatory_bowel_disease, seasonal_allergic_rhinitis__asthma, ulcerative_colitis	Thyroid, Esophagus_Mucosa, Colon_Sigmoid	both	True
RP11-135D11.2	rs10826334	mean_arterial_pressure__alcohol_drinking, systolic_blood_pressure__alcohol_drinking	Testis	cis	False
SETP12	rs180730	fasting_blood_glucose_measurement	Cells_Transformed_fibroblasts	cis	False
IGF2R	rs6917747, rs12208357	multiple_sclerosis, total_cholesterol_measurement	Adipose_Subcutaneous, Heart_Atrial_Appendage, Muscle_Skeletal, Nerve_Tibial, Esophagus_Muscularis, Pancreas, Skin_Sun_Exposed_Lower_leg	cis	False
TMEM9	rs2281845	tooth_eruption	Cells_Transformed_fibroblasts	cis	False
PLRG1	rs13109457, rs7681423, rs1800788, rs12511469, rs6050, rs2066865, rs6536024, rs7659024	D_dimer_measurement, fibrinogen_measurement, venous_thromboembolism	Esophagus_Mucosa	cis	False
SLC36A1	rs11057405, rs10463316	body_mass_index, pyroglutamine_measurement	Esophagus_Mucosa, Testis	both	False
RP11-29H23.5	rs490608	inflammatory_bowel_disease	Testis	cis	False
ERICH1	rs17666538	serum_IgG_glycosylation_measurement	Whole_Blood	cis	True
ART3	rs2273	longevity	Pituitary, Nerve_Tibial, Pancreas, Colon_Sigmoid, Esophagus_Gastroesophageal_Junction	cis	False
TCEA2	rs6062344	thyroid_stimulating_hormone_measurement	Artery_Aorta, Artery_Tibial	cis	True
TCEA3	rs2806561, rs1738475, rs2298632, rs1077514	body_height, QT_interval, total_cholesterol_measurement	Heart_Left_Ventricle, Brain_Frontal_Cortex_BA9, Heart_Atrial_Appendage, Muscle_Skeletal, Brain_Hypothalamus, Cells_Transformed_fibroblasts, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	cis	False
COX4I2	rs6060960, rs6087771	attention_deficit_hyperactivity_disorder__oppositional_defiant_disorder_measurement, putamen_volume	Thyroid, Skin_Not_Sun_Exposed_Suprapubic, Adipose_Subcutaneous, Esophagus_Muscularis, Muscle_Skeletal, Nerve_Tibial, Heart_Left_Ventricle, Skin_Sun_Exposed_Lower_leg	cis	False
COX4I1	rs2733954	leprosy	Testis	cis	True
AP000473.8	rs2823962	amyotrophic_lateral_sclerosis	Thyroid, Testis, Breast_Mammary_Tissue, Pituitary, Adrenal_Gland, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Muscle_Skeletal, Ovary, Adipose_Visceral_Omentum, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Brain_Hippocampus, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
ABCD2	rs2076295	interstitial_lung_disease	Pituitary	trans	False
PIPOX	rs11653144	mean_platelet_volume	Heart_Left_Ventricle	cis	False
CCDC116	rs2298428, rs181362, rs4821112, rs11089637	celiac_disease, high_density_lipoprotein_cholesterol_measurement, immune_system_disease, mean_corpuscular_volume, rheumatoid_arthritis	Thyroid, Brain_Frontal_Cortex_BA9, Artery_Aorta, Vagina, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Brain_Cortex, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg, Heart_Left_Ventricle, Ovary, Brain_Cerebellar_Hemisphere, Skin_Not_Sun_Exposed_Suprapubic, Muscle_Skeletal	cis	False
CCDC117	rs16986825	pancreatic_carcinoma	Skin_Sun_Exposed_Lower_leg	cis	False
AP000473.5	rs736289	Crohn's_disease	Brain_Hypothalamus	trans	False
MCF2L	rs555212	coagulation_factor_measurement	Pancreas	cis	False
ABCD4	rs2239557	circadian_rhythm	Adipose_Subcutaneous	cis	False
ATP1A2	rs2518564	leukocyte_count	Artery_Coronary	trans	False
LINC00448	rs1335688	plasma_beta-amyloid_1-40_measurement	Testis	cis	False
MGRN1	rs6500602	schizophrenia	Nerve_Tibial, Lung	cis	False
CRTAP	rs7613051	atopic_eczema	Testis	cis	False
SPHK2	rs2292342	serum_carcinoembryonic_antigen_measurement	Artery_Tibial	cis	False
DPT	rs7534485	response_to_diisocyanate__asthma	Skin_Sun_Exposed_Lower_leg	cis	False
CUEDC1	rs1401795	body_height	Cells_Transformed_fibroblasts	trans	False
CUEDC2	rs3824756	body_mass_index	Spleen	cis	False
C2CD2	rs1475911	serum_IgG_glycosylation_measurement	Lung	cis	False
CPEB4	rs17695092, rs56163845, rs72810983, rs6861681, rs7705502	Crohn's_disease, inflammatory_bowel_disease, waist-hip_ratio, waist-hip_ratio__body_mass_index	Testis	cis	True
CPEB1	rs783540	schizophrenia	Heart_Atrial_Appendage, Artery_Tibial, Colon_Transverse, Esophagus_Muscularis, Nerve_Tibial, Artery_Aorta	cis	True
CPEB3	rs10904180	self_reported_educational_attainment	Esophagus_Gastroesophageal_Junction	trans	False
SBSPON	rs12677663	Crohn's_disease	Small_Intestine_Terminal_Ileum, Artery_Tibial, Colon_Transverse, Esophagus_Muscularis, Colon_Sigmoid, Artery_Coronary, Esophagus_Mucosa, Artery_Aorta	cis	False
RP11-981G7.3	rs11782819	Alzheimers_disease	Thyroid, Breast_Mammary_Tissue, Adrenal_Gland, Brain_Cerebellum, Esophagus_Muscularis, Spleen, Brain_Cortex, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Brain_Putamen_basal_ganglia, Lung	cis	False
RP11-981G7.2	rs4281086	waist_circumference	Testis	cis	False
SRBD1	rs34669198	type_II_diabetes_mellitus	Cells_Transformed_fibroblasts	cis	True
ABAT	rs7189501	body_mass_index	Adrenal_Gland	trans	False
AC097721.2	rs10170310	response_to_olanzapine	Testis	cis	False
TP53TG5	rs1008953	psoriasis	Testis	cis	False
IFT80	rs4679904, rs16851483	biliary_liver_cirrhosis, body_mass_index	Adrenal_Gland, Brain_Caudate_basal_ganglia, Stomach	both	False
TP53TG1	rs1476587, rs6942407	brachial_circumference, food_allergy_measurement	Skin_Not_Sun_Exposed_Suprapubic, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	cis	False
IFT88	rs4770049, rs9506514, rs735539, rs7326068	body_mass_index, coronary_artery_calcification, dental_caries, unipolar_depression__mental_or_behavioural_disorder__bipolar_disorder	Adipose_Subcutaneous, Testis, Whole_Blood, Heart_Left_Ventricle, Esophagus_Mucosa	cis	True
RP11-276H1.3	rs8048589	HOMA-IR, fasting_blood_insulin_measurement	Testis	cis	False
RP11-10O17.1	rs11543198	bladder_carcinoma	Artery_Coronary	cis	False
CNTF	rs12289961, rs948562	lymphoma	Testis, Artery_Tibial, Esophagus_Mucosa, Lung, Thyroid, Nerve_Tibial, Muscle_Skeletal, Artery_Aorta, Brain_Putamen_basal_ganglia	cis	False
CTB-161K23.1	rs2040494	body_height	Brain_Cerebellum	cis	False
ATG4C	rs12130333	triglyceride_measurement	Brain_Cerebellum, Brain_Cerebellar_Hemisphere	cis	False
ATG4B	rs12479254	brain_measurement	Whole_Blood	cis	False
RP11-307B6.3	rs2819348	breast_size__breast_carcinoma	Adipose_Subcutaneous, Artery_Tibial, Esophagus_Mucosa, Esophagus_Muscularis, Skin_Sun_Exposed_Lower_leg	cis	False
SP7	rs2016266, rs10876432	bone_density	Testis	cis	True
LRGUK	rs8079702	odontogenesis	Brain_Cortex	trans	False
CFH	rs1061170, rs1831282, rs1061147, rs10737680, rs10801555, rs1329424, rs1410996, rs1329428, rs10922162, rs4915559, rs800292, rs73818525	age-related_macular_degeneration, coagulation_factor_measurement, myeloperoxidase_measurement, psoriasis, wet_macular_degeneration	Nerve_Tibial, Adipose_Subcutaneous, Lung	both	True
GPT2	rs12447804	FEV-FEC_ratio, pulmonary_function_measurement__FEV-FEC_ratio	Whole_Blood	trans	False
PNP	rs1049564, rs12147450	interferon_alpha_measurement__systemic_lupus_erythematosus, response_to_antipsychotic_drug	Thyroid, Nerve_Tibial, Artery_Aorta, Whole_Blood, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Artery_Tibial, Colon_Transverse, Esophagus_Muscularis, Muscle_Skeletal, Prostate, Pancreas, Adipose_Subcutaneous, Spleen, Esophagus_Gastroesophageal_Junction, Cells_Transformed_fibroblasts, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
ANKFY1	rs7517847	omega-6_polyunsaturated_fatty_acid_measurement	Esophagus_Mucosa	trans	False
TPT1-AS1	rs7323755	pathological_myopia	Whole_Blood	cis	False
MLLT4	rs1564348	total_cholesterol_measurement	Cells_Transformed_fibroblasts	trans	False
CTB-174O21.2	rs11083846	chronic_lymphocytic_leukemia	Muscle_Skeletal	cis	False
OSER1	rs4812829	type_II_diabetes_mellitus	Testis, Cells_Transformed_fibroblasts, Nerve_Tibial	cis	False
SIDT1	rs7611694	prostate_carcinoma	Pancreas, Esophagus_Mucosa	cis	True
